dataset_id,well,formula,adduct,neutral_loss,score,average ratio,occupancy ratio
2021-02-19_12h11m04s,11,C20H34O5,+H,,0,2.819469184879401,1.9084405205875639
2021-02-19_12h11m04s,13,C44H78O2,+H,,1,96.76685333251953,11.538461538461538
2021-02-19_12h11m04s,15,C21H40O4,+H,,1,81.66390506428118,32.44348884998858
2021-02-19_12h11m04s,22,C27H46O,+H,,1,35.89274742217541,11.364151370949468
2021-02-19_12h11m04s,32,C22H45O9P,+H,,1,26.91626187536901,1.7317281292348399
2021-02-19_12h11m04s,67,C9H14N3O8P,+H,,1,24.422367064504645,4.482243017744905
2021-02-19_12h11m04s,74,C8H16NO9P,+H,,1,28.511850454961497,7.144383503098512
2021-02-19_12h11m04s,76,C11H16N2O8,+H,,1,70.12399172623091,11.153532507969455
2021-02-19_12h11m04s,79,C17H27N3O17P2,+H,,0,2.0298581330741703,1.6004648115504547
2021-02-19_12h11m04s,99,C15H22N2O18P2,+H,,0,2.4401066010489045,1.5346716445314892
2021-02-19_12h11m04s,144,C26H45NO7S,+H,,1,56.290697155020034,9.50602775039806
2021-02-19_12h11m04s,153,C15H23N6O5S,+H,,0,2.548308512674172,1.8868989389720823
