dataset_id,well,formula,adduct,neutral_loss,score,average ratio,occupancy ratio
2021-04-26_15h41m55s,61,C6H12O4,+H,,1,4.77554206768748,2.7600352983477996
2021-04-26_15h41m55s,63,C3H9O6P,+H,,0,1.0792059128555354,0.9900990099009901
2021-04-26_15h41m55s,74,C8H16NO9P,+H,,0,1.9408606736450402,2.314819744944833
2021-04-26_15h41m55s,75,C3H7O6P,+H,,0,2.50052729751469,2.5287847428964847
2021-04-26_15h41m55s,92,C4H8O2,+H,,0,1.0668801422573282,1.1606618586349355
2021-04-26_15h41m55s,93,C2H5NO2,+H,,0,3.3125581449777908,1.4254297720540414
2021-04-26_15h41m55s,123,C3H7NO2S,+H,,1,4.006926799735166,4.276289316162124
2021-04-26_15h41m55s,124,C6H12O6,+H,,0,1.8114932357663651,1.4080542516925683
2021-04-26_15h41m55s,137,C5H6N2O2,+H,,1,7.355171166093541,4.173291701064485
2021-04-26_15h41m55s,172,C7H5NO4,+H,,1,5.745953800187083,2.850859544108083
2021-04-26_15h41m55s,178,C5H5N5O,+H,,0,2.615632507229934,2.8626346031478085
2021-04-26_15h41m55s,185,C6H12N2O4S2,+H,,0,1.4587152057799773,1.2877122064734048
2021-04-26_15h41m55s,188,C5H8N2O5,+H,,0,4.477443646518285,1.4195904792268155
