dataset_id,well,formula,adduct,neutral_loss,score,average ratio,occupancy ratio
2021-03-24_23h18m35s,10,C8H7N,+H,,0,1.0012247830020822,0.9901431753187286
2021-03-24_23h18m35s,23,C18H24O2,+H,,0,2.3145737648010254,1.4492753623188406
2021-03-24_23h18m35s,38,C4H4O4,+H,,0,1.4212793432508914,1.266667922092818
2021-03-24_23h18m35s,58,C5H11O8P,+H,,1,7.741140261161484,5.2075847070259496
2021-03-24_23h18m35s,75,C3H7O6P,+H,,1,5.44469927705957,2.895072689840378
2021-03-24_23h18m35s,113,C4H6O4,+H,,0,4.272862596145954,1.3749440192072189
2021-03-24_23h18m35s,117,C3H8NO6P,+H,,0,1.0034313805332211,1.007894612219433
2021-03-24_23h18m35s,124,C6H12O6,+H,,0,1.4922805095709248,1.4299491139881453
2021-03-24_23h18m35s,157,C10H9NO3,+H,,1,1.6320686349116216,0.9905850463027218
2021-03-24_23h18m35s,170,C6H14O12P2,+H,,1,5.190493547080449,4.289847341964435
2021-03-24_23h18m35s,171,C5H4N2O4,+H,,0,2.540217891817213,2.3744005031842126
